continente,pais,competicion,id_competicion,url_competicion,temporada,url_temporada,url_resultados
South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,2025,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/results
South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,2024,https://www.scoresway.com/en_GB/soccer/liga-pro-2024/bujxxi8su34wmwfa3dbt3vf9w/results,https://www.scoresway.com/en_GB/soccer/liga-pro-2024/bujxxi8su34wmwfa3dbt3vf9w/results
South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,2023,https://www.scoresway.com/en_GB/soccer/liga-pro-2023/35hsqxy37gszr9aue2vusls7o/results,https://www.scoresway.com/en_GB/soccer/liga-pro-2023/35hsqxy37gszr9aue2vusls7o/results
South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,2022,https://www.scoresway.com/en_GB/soccer/liga-pro-2022/bdoyxlm3g9qhggsqwkos7ut5g/results,https://www.scoresway.com/en_GB/soccer/liga-pro-2022/bdoyxlm3g9qhggsqwkos7ut5g/results
South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,2021,https://www.scoresway.com/en_GB/soccer/liga-pro-2021/bxvfclyybn5f5yudo9gizs2dw/results,https://www.scoresway.com/en_GB/soccer/liga-pro-2021/bxvfclyybn5f5yudo9gizs2dw/results
South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,2020,https://www.scoresway.com/en_GB/soccer/liga-pro-2020/dttbrvadyd3thphmtcbfvgjmy/results,https://www.scoresway.com/en_GB/soccer/liga-pro-2020/dttbrvadyd3thphmtcbfvgjmy/results
South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,2019,https://www.scoresway.com/en_GB/soccer/liga-pro-2019/ocmlae4zh69c8m4kuys2kpyi/results,https://www.scoresway.com/en_GB/soccer/liga-pro-2019/ocmlae4zh69c8m4kuys2kpyi/results
South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,2018,https://www.scoresway.com/en_GB/soccer/liga-pro-2018/1nl7zl05cqs1knsb34tybfjai/results,https://www.scoresway.com/en_GB/soccer/liga-pro-2018/1nl7zl05cqs1knsb34tybfjai/results
South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,2017,https://www.scoresway.com/en_GB/soccer/liga-pro-2017/f2n93gghwzh6d7dicv2ynyig9/results,https://www.scoresway.com/en_GB/soccer/liga-pro-2017/f2n93gghwzh6d7dicv2ynyig9/results
South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,2016,https://www.scoresway.com/en_GB/soccer/liga-pro-2016/9qi9akowh1tb2cz3z78h6oyy1/results,https://www.scoresway.com/en_GB/soccer/liga-pro-2016/9qi9akowh1tb2cz3z78h6oyy1/results
South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,2015,https://www.scoresway.com/en_GB/soccer/liga-pro-2015/4o8hwhfw93ztg7vyl6g9kxhwp/results,https://www.scoresway.com/en_GB/soccer/liga-pro-2015/4o8hwhfw93ztg7vyl6g9kxhwp/results
South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,2014,https://www.scoresway.com/en_GB/soccer/liga-pro-2014/9y045sl4xahkqciivvjid7mdk/results,https://www.scoresway.com/en_GB/soccer/liga-pro-2014/9y045sl4xahkqciivvjid7mdk/results
South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,2013,https://www.scoresway.com/en_GB/soccer/liga-pro-2013/38d75ydpvknwj0suhy1z6fxum/results,https://www.scoresway.com/en_GB/soccer/liga-pro-2013/38d75ydpvknwj0suhy1z6fxum/results
South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,2012,https://www.scoresway.com/en_GB/soccer/liga-pro-2012/bwiie03xu5gpkmrzm0u5ca7kl/results,https://www.scoresway.com/en_GB/soccer/liga-pro-2012/bwiie03xu5gpkmrzm0u5ca7kl/results
South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,2011,https://www.scoresway.com/en_GB/soccer/liga-pro-2011/5s4f9hxfybzlykx6uwdfmnd91/results,https://www.scoresway.com/en_GB/soccer/liga-pro-2011/5s4f9hxfybzlykx6uwdfmnd91/results
South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,2010,https://www.scoresway.com/en_GB/soccer/liga-pro-2010/14ajzip7m33jjv8mnuzs0pnth/results,https://www.scoresway.com/en_GB/soccer/liga-pro-2010/14ajzip7m33jjv8mnuzs0pnth/results
South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,2009,https://www.scoresway.com/en_GB/soccer/liga-pro-2009/5n4vl7ltzkekar70mya19rcgl/results,https://www.scoresway.com/en_GB/soccer/liga-pro-2009/5n4vl7ltzkekar70mya19rcgl/results
South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,2008,https://www.scoresway.com/en_GB/soccer/liga-pro-2008/1b6uv7kfc9ccm6r67l3ibtiad/results,https://www.scoresway.com/en_GB/soccer/liga-pro-2008/1b6uv7kfc9ccm6r67l3ibtiad/results
South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,2007,https://www.scoresway.com/en_GB/soccer/liga-pro-2007/c82nqqksj0ys2au7t0nvr6hg5/results,https://www.scoresway.com/en_GB/soccer/liga-pro-2007/c82nqqksj0ys2au7t0nvr6hg5/results
South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,2006,https://www.scoresway.com/en_GB/soccer/liga-pro-2006/3fkod6emqqzc0v2vtaw8ndrrp/results,https://www.scoresway.com/en_GB/soccer/liga-pro-2006/3fkod6emqqzc0v2vtaw8ndrrp/results
South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,2005,https://www.scoresway.com/en_GB/soccer/liga-pro-2005/9h3m8p9ce76yo4phi6n7c2pcl/results,https://www.scoresway.com/en_GB/soccer/liga-pro-2005/9h3m8p9ce76yo4phi6n7c2pcl/results
South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,2004,https://www.scoresway.com/en_GB/soccer/liga-pro-2004/ea23hcczteesae3k5khrc1dxx/results,https://www.scoresway.com/en_GB/soccer/liga-pro-2004/ea23hcczteesae3k5khrc1dxx/results
South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,https://www.scoresway.com/en_GB/soccer/liga-pro-2025/5kew94t602zbzw5zv2rjkcetw/fixtures,2003,https://www.scoresway.com/en_GB/soccer/liga-pro-2003/ea05hn2gygl2e3bocaa7uzpat/results,https://www.scoresway.com/en_GB/soccer/liga-pro-2003/ea05hn2gygl2e3bocaa7uzpat/results
